%ANAME(対象)%の元を訪れると、サンタ帽を被った青髪でショートヘアーの女性が居た	拜访了%ANAME(対象)%，看到一位戴着圣诞帽的蓝色短发的女性。
部屋の主が%ANAME(MASTER)%に気付くと声を掛けてくる	屋主一看到%ANAME(MASTER)%，就打了招呼
「この姿勢だと……私があなたを好きに出来ないから、ちょっと残念ね」	「这个姿势…我不能对你随心所欲，有点可惜呢」
%ANAME(対象)%に好きにされるのもそれはそれでいいが、いつまでもマグロでいるわけにもいかない	虽然被%ANAME(対象)%随意摆弄也不错，但也不能一直当条金枪鱼吧
%ANAME(MASTER)%は腰を激しく動かし始める	%ANAME(MASTER)%开始剧烈地活动腰
「……ふふっ、やっぱりこの体勢、安心できるわ……」	「……呋呋，果然这个姿势，感觉很安心啊……」
「だって、あなたの姿を真正面から見れるんだもの……」	「因为，能从正面看到你的身影……」
その言葉を聞いて胸がドキリと高鳴る%ANAME(MASTER)%	听到这句话，我的心怦怦地跳动
「んっ、ぁ……ふふっ、今、おおきくなった」	「嗯，啊……呋呋，现在变大了呢」
%ANAME(MASTER)%は気恥ずかしくなり目を逸らす	%ANAME(MASTER)%因为害羞而移开视线
すると%ANAME(対象)%は両腕を首に絡ませて抱きついてきた	然后%ANAME(対象)%用双臂搂住脖子抱住
「恥ずかしがらないでいいわよ……ね、動いて？」	「别害羞了……呐，动起来吧？」
%ANAME(MASTER)%は我慢がきかなくなり、腰を激しく動かした	%ANAME(MASTER)%忍耐不住，剧烈地动起了腰来
「あ、ぁ、んぁあっ ふぁ、はぁあんっ」	「啊、啊、啊啊啊、啊啊啊」
「%ANAME(MASTER)%っ…… んぁっ、大好き……ぁあんっ」	「%ANAME(MASTER)%……嗯，最喜欢了……啊啊啊」
「んっ……%ANAME(MASTER)%のが……はいって、くる……」	「嗯……%ANAME(MASTER)%的……进，进来了……」
%ANAME(対象)%は自分の膣内で%ANAME(MASTER)%のペニスを感じているようだ	%ANAME(対象)%在自己的阴道里感觉着%ANAME(MASTER)%的阴茎
「ぁはっ、すごい……大きくて、熱い……」	「啊，好厉害……又大又热……」
「ね、動いて……貴方を、もっと感じさせて……」	「呐，动起来吧……让我更多感受到你……」
%ANAME(対象)%の言葉を聞いて%ANAME(MASTER)%は腰を動かし始めた	听了%ANAME(対象)%的话，%ANAME(MASTER)%开始动起了腰
「ぁ、はぁんっ、膣内で、うごいてるぅっ……」	「啊，哈，在阴道内动着……」
「いいのぉ、もっと、激しくうごいてぇ、ああぁっ」	「好啊，再激烈一点吧，啊啊啊」
「んぁっ、あ、あっ、ふぁあっ」	「嗯，啊，哈啊，哇，啊」
%ANAME(MASTER)%は小刻みにピストン運動を続ける	持续小幅度的活塞运动
「%ANAME(MASTER)%の……膣内でどんどん大きくなって、る……」	「%ANAME(MASTER)%的……在阴道内渐渐变大……」
「ねぇ、そろそろイキそう……？ 私も、もう」	「喂，差不多该射了吧……？我也已经」
その言葉を聞いた%ANAME(MASTER)%は一際深く奥へとペニスを突き入れた	听到这句话的%ANAME(MASTER)%更深地刺进了阴茎
「きゃぁんっ いちばん奥に、貴方の……」	「啊，在最里面，你的……」
「もう、もう……ダメぇぇぇっ……」	「已经、已经……不行，啊啊啊啊……」
%ANAME(対象)%に思いっきり腰を打ち付ける%ANAME(MASTER)%	%ANAME(MASTER)%尽情地扭腰击打%ANAME(対象)%
「きゃぅっ」	「哦，哦」
腰を打ちつけた後、膣内からゆっくりとペニスが抜ける直前まで腰を引く	腰部结束撞击后，竖直腰，从阴道内缓缓拔出阴茎
「はぁ、はぁ……ぁ……」	「哈、哈……啊……」
%ANAME(対象)%が残念そうな表情をして接合部分を見つめる	%ANAME(対象)%露出遗憾的表情凝视着交合的部分
その反応を確かめると、再び思いっきり腰を打ちつけた	看到了那个反应后，再一次狠狠地击打起了腰部
「んぁあんっ ……もう、じらさ、ないでぇ……」	「嗯……够，不要，这么，着急啊……」
%ANAME(対象)%は切なそうな表情をしている	%ANAME(対象)%露出难受的表情
今度は速いストロークで激しく腰を打ち付ける	这次用快速摇摆的方式猛烈地击打腰部
「ふぁあっ ぁ、んぁっ、あんっ」	「啊啊啊，嗯，嗯」
「あ、はげし……ぁ、やぁぁああんっ」	「啊，太激烈了……啊，呀啊啊啊」
「んぁあぅっ！ %ANAME(MASTER)%のが、膣内で擦れて……！」	「嗯啊啊！%ANAME(MASTER)%的，在阴道内摩擦……！」
「あっ、あっ、ふぁあっ！」	「啊，啊，啊！」
「もっと、もっと突いてぇっ！」	「再，再多顶几下！」
「頭、真っ白になっちゃ……ひゃんっ！」	「脑袋，一边空白了……呀啊！」
「やっ、ぁ……もう少しゆっくり動いて……！」	「啊，啊……再慢一点动……！」
「私、おかしくなっちゃう……ひぁあんっ！」	「我腰变得奇怪了……啊啊啊！」
「んぁあっ、い、やぁあん……！」	「嗯、啊、啊、啊啊啊……！」
「そんな、奥まで……んぁうっ！」	「那样的，到里面去……嗯！」
%ANAME(対象)%のアナルは既に腸液で濡れて%ANAME(MASTER)%のモノを受け入れられる	%ANAME(対象)%的肛门已经被肠液浸湿到完全可以接受%ANAME(MASTER)%的东西了
シュルシュルと%ANAME(MASTER)%の尻尾に絡みつき、自身の菊穴へ添わせ怪しく微笑む%ANAME(対象)%	和%ANAME(MASTER)%的尾巴咻噜咻噜地缠在一起，%ANAME(対象)%对着自己的菊穴露出了奇怪的微笑
%ANAME(対象)%はそのまま、思わず緊張した%ANAME(MASTER)%の尻尾を優しく自身のアナルへ挿入していく	就那样，%ANAME(対象)%情不自禁地把紧张的%ANAME(MASTER)%的尾巴温柔地插入自己的肛门里
尻尾をゆっくり前後にストロークさせ、先端の毛で腸内をブラッシングしていく	尾巴慢慢地前后摆动，用前端的毛在肠内刷着
バックから%ANAME(対象)%の尻穴をゆっくり往復する	从背后慢慢地抽插着%ANAME(対象)%的尻穴
「ぁあんっ、あっ、いい、%ANAME(MASTER)%……！」	「啊，啊，好，%ANAME(MASTER)%……！」
「お尻の中が…広がって…んぁあっ！」	「在屁股的里面…感觉蔓延开来了…嗯啊啊！」
%ANAME(対象)%のお尻と尻尾が可愛く揺れている	%ANAME(対象)%的屁股和尾巴可爱地摇着
尻尾を動かしながら尻尾を優しい手つきで撫でてやる	一边摇动尾巴，一边用手温柔地抚摸着尾巴
「んきゃぁっ！？」	「啊啊啊！？」
突然撫でられて驚いたらしい、尻穴が尻尾をぎゅうぎゅうと締め付け感じ易くなった%ANAME(対象)%が震える	突然被摸了一下，好像吓了一跳，屁股上的洞紧紧地勒住了尾巴，很明显地感觉到%ANAME(対象)%在发抖。
「んぁっ、あぁっ、やぁ、イッちゃうぅっ……！」	「嗯，啊，啊，呀，我要……！」
「ん、ぁあっ！ 奥まで、きてる……！」	「嗯，啊！到里面来了……！」
尻尾を打ち付けるたびに%ANAME(対象)%の柔らかそうなお尻がぷるぷると波打っている	每次撞到尾巴的时候，%ANAME(対象)%柔软的屁股都在扑哧扑哧地拍打着
%ANAME(対象)%のお尻を両手で撫でながら、尻尾を時計回りにぐるぐると回す	用双手抚摸着%ANAME(対象)%的屁股，顺时针旋转抚摸着她的尾巴
「んぁあっ……お尻の中、かき回さないでぇっ……！」	「嗯啊啊……不要在屁股里搅动啊……！」
再び少しずつ早め、深く、浅く、また強弱をつけて尻尾を前後にストロークする	再次一点点地加快速度，一下深一下浅地抽动着尾巴
「ひんっ！ んぁあっ、気持ち、い、ぃやああぁんっ……！」	「嘿！啊，好舒服，咦，啊阿啊啊……！」
%ANAME(MASTER)%も尻尾を動かし始める	%ANAME(MASTER)%也开始摇尾巴
「んぅっ！ はげ、し……やぁんっ！」	「嗯！好、强烈……呀啊啊！」
%ANAME(対象)%が後ろへ手を伸ばしてきた	%ANAME(対象)%向身后伸出手
「んぁあっ！ %ANAME(MASTER)%、%ANAME(MASTER)%……！」	「嗯啊啊！%ANAME(MASTER)%，%ANAME(MASTER)%……！」
「んぁ、ぁぁあああ～～～……！」	「嗯，啊啊啊～～……！」
「んぁっ、あ、あっ、ふぁあっ！」	「嗯，啊，啊，啊！」
%ANAME(MASTER)%は尻尾で小刻みにピストン運動を続ける	%ANAME(MASTER)%用尾巴一点一点地持续着活塞运动
「%ANAME(MASTER)%の……お尻の中でどんどん大きくなって、る……」	「%ANAME(MASTER)%的……在屁股里越来越大……」
「ねぇ、 私っ、もうっ」	「呐，我，也要」
その言葉を聞いた%ANAME(MASTER)%は一際深く奥へと尻尾を突き入れた	听到这句话的%ANAME(MASTER)%深深地向更里面刺进了尾巴
「きゃぁんっ！ いちばん奥に、貴方の……！」	「呀！在最里面，你的……！」
「もう、もう……あぁっ！」	「已经……啊啊！」
「んぅっ！ くっ、ぁはぁあんっ！」	「嗯！啊、啊啊啊！」
%ANAME(対象)%は壁に手をついて%ANAME(MASTER)%の尻尾を受け入れている	%ANAME(対象)%用手扶着墙壁接受了%ANAME(MASTER)%的尾巴
%ANAME(対象)%の片腕を引き寄せて、更に尻尾を打ち付ける	把%ANAME(対象)%的一只手拉过来，再把尾巴插进去
「んぁあっ！？ この姿勢、奥まで……ぁうっ！」	「嗯啊！？这个姿势，到里面去了……啊！」
「すごぉい、届いてる、奥にぃっ……！」	「好厉害，送到了，最里面……！」
「後ろからだと、一番気持ちいいとこに擦れて……んぁっ！」	「从后面，擦到了最舒服的地方……嗯！」
「すごく、気持ちいい……んっ、はぁっ！」	「好舒服……嗯，哈！」
「んっ、くぅんっ！ それに……深くまで入ってきて……んぁあっ、ひぁっ！」	「呜，嗯！而且……深深地进来了……嗯，啊！」
どうやら%ANAME(対象)%はバックからの尻尾挿入が気に入っているようだ	看来%ANAME(対象)%喜欢从背后插入尾巴
「んぅっ！ ……ぁ、はぁんっ！」	「嗯……啊，哈！」
「%ANAME(MASTER)%のが ……奥に、当たって……！」	「%ANAME(MASTER)%的……在里面撞击着……！」
奥を貫くたびに%ANAME(対象)%が甘い悲鳴を漏らす	每次被贯穿深处%ANAME(対象)%都会发出甜美的悲鸣
その可愛い声をもっと聞きたくなり、%ANAME(MASTER)%は尻尾の速度を早める	想听到更多可爱的声音，%ANAME(MASTER)%加快了尾巴的速度
「んぁあっ！ ちょ、はや……あっ、あっ、ふぁんっ！」	「嗯啊啊！等、哎呀……啊，啊，嗯！」
「んはぁあっ！ ぁあっ、やぁあんっ！」	「啊啊啊啊！啊，哎呀！」
「腸に、コツコツ当たって……んぁあぅっ！」	「噗呲噗呲地打在肠道上……嗯啊啊！」
「私、もう……だめっ……！」	「我已经……不行……！」
「きゃぅっ！ や、お尻の中で擦れてる……！」	「啊！呀，在屁股里摩擦了……！」
「そこ、感じすぎちゃうっ……！」	「那里，有感觉过头了……！」
「あっ、あっ、っ！」	「啊，啊，啊！」
「だ、め……%ANAME(MASTER)%、体勢変えて……！」	「不、行……%ANAME(MASTER)%，换个姿势……！」
「これ、奥まできちゃって……んはぁっ！」	「这个，到里面去了……嗯哈！」
「はぁっ！ んぁあっ……！」	「哈！嗯啊啊……！」
%ANAME(MASTER)%の腰の動きに合わせて%ANAME(対象)%の胸が揺れている	随着%ANAME(MASTER)%腰部的动作，%ANAME(対象)%的胸部也跟着晃动
%ANAME(MASTER)%は%ANAME(対象)%の菊穴に顔を近づける	%ANAME(MASTER)%把脸靠近%ANAME(対象)%的菊穴
%ANAME(MASTER)%は%ANAME(対象)%の菊穴の周りや腸内をを舐めまわす	%ANAME(MASTER)%在%ANAME(対象)%的菊穴周围和肠内来回舔
「！？ あっ、舌、腸内で暴れて、くぁあん、ふああっ」	「！？ 啊，舌头在肠内乱动着，呜呜，呜呜」
